ydstogo,yardline_100,score_differential,game_seconds_remaining,distance_group,field_zone,score_state,time_state,decision,epa,wpa
4.0,17.0,-2.0,1072.0,MEDIUM,RED_ZONE,TRAILING,MID,FIELD_GOAL,0.334183175957957,-0.01412227749824524
5.0,39.0,-1.0,856.0,MEDIUM,MIDFIELD,TRAILING,MID,GO,-2.232531481888145,-0.10265117883682251
9.0,60.0,1.0,798.0,LONG,OWN_TERRITORY,LEADING,MID,PUNT,0.08602398680523038,-0.03890165686607361
7.0,42.0,-1.0,570.0,LONG,MIDFIELD,TRAILING,MID,PUNT,-0.8282084611710161,-0.04079428315162659
28.0,98.0,1.0,428.0,VERY_LONG,OWN_TERRITORY,LEADING,MID,PUNT,-0.24820393370464444,-0.10894253849983215
15.0,18.0,-1.0,145.0,VERY_LONG,RED_ZONE,TRAILING,LATE,FIELD_GOAL,-3.686559808387482,-0.2874060273170471
6.0,70.0,1.0,120.0,LONG,OWN_TERRITORY,LEADING,LATE,PUNT,-0.6561753444839269,-0.18081903457641602
20.0,50.0,1.0,30.0,VERY_LONG,MIDFIELD,LEADING,LATE,PUNT,0.008810633735265583,-0.06597356498241425
10.0,23.0,0.0,1958.0,LONG,OPPONENT_21_35,TIED,EARLY,FIELD_GOAL,0.6954557490640285,0.022098809480667114
14.0,40.0,1.0,1415.0,VERY_LONG,MIDFIELD,LEADING,MID,FIELD_GOAL,3.2158701429168426,0.07891103625297546
3.0,77.0,4.0,1098.0,MEDIUM,OWN_TERRITORY,LEADING,MID,PUNT,0.5825918465852737,0.006902068853378296
10.0,51.0,-4.0,893.0,LONG,OWN_TERRITORY,TRAILING,MID,PUNT,0.17163716722279787,0.0008682310581207275
10.0,55.0,4.0,447.0,LONG,OWN_TERRITORY,LEADING,MID,PUNT,0.20392159931361675,0.03357887268066406
7.0,73.0,-4.0,290.0,LONG,OWN_TERRITORY,TRAILING,LATE,PUNT,0.48537568701431155,0.04102274775505066
3.0,69.0,4.0,189.0,MEDIUM,OWN_TERRITORY,LEADING,LATE,PUNT,0.16243353090249002,0.05412574112415314
3.0,55.0,-4.0,120.0,MEDIUM,OWN_TERRITORY,TRAILING,LATE,GO,-2.6108733484288678,-0.1278345137834549
14.0,80.0,-7.0,3121.0,VERY_LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,-0.6247404639143497,-0.022498756647109985
3.0,16.0,7.0,2942.0,MEDIUM,RED_ZONE,LEADING,EARLY,FIELD_GOAL,0.31231442283873756,-0.009913787245750427
5.0,12.0,-10.0,2370.0,MEDIUM,RED_ZONE,TRAILING,EARLY,FIELD_GOAL,0.17574135109514444,0.034627437591552734
2.0,30.0,-14.0,1944.0,SHORT,OPPONENT_21_35,TRAILING,EARLY,GO,2.567944919632282,0.06294931471347809
1.0,78.0,14.0,1821.0,SHORT,OWN_TERRITORY,LEADING,EARLY,PUNT,0.06370368495117873,0.014451876282691956
9.0,9.0,-14.0,1483.0,LONG,RED_ZONE,TRAILING,MID,FIELD_GOAL,0.09794671320987547,-0.0032852143049240112
2.0,68.0,11.0,1372.0,SHORT,OWN_TERRITORY,LEADING,MID,PUNT,0.02612225664779544,0.015228763222694397
12.0,68.0,-11.0,1164.0,VERY_LONG,OWN_TERRITORY,TRAILING,MID,PUNT,0.7071836558170617,0.01622503250837326
5.0,46.0,11.0,903.0,MEDIUM,MIDFIELD,LEADING,MID,PUNT,-0.08538528578355908,0.009041965007781982
17.0,99.0,-11.0,771.0,VERY_LONG,OWN_TERRITORY,TRAILING,MID,PUNT,-0.3450867834035307,0.009041894227266312
1.0,10.0,11.0,551.0,SHORT,RED_ZONE,LEADING,MID,GO,1.5895032170810737,0.012171506881713867
2.0,65.0,-18.0,402.0,SHORT,OWN_TERRITORY,TRAILING,MID,GO,-3.5664456873200834,-0.004888741299510002
3.0,20.0,18.0,265.0,MEDIUM,RED_ZONE,LEADING,LATE,FIELD_GOAL,0.46385002717598045,0.00010220403783023357
5.0,60.0,-21.0,199.0,MEDIUM,OWN_TERRITORY,TRAILING,LATE,GO,2.1982411046046764,0.0002743102377280593
3.0,13.0,-21.0,60.0,MEDIUM,RED_ZONE,TRAILING,LATE,GO,4.254937844350934,-0.0005216894346778966
15.0,85.0,0.0,3479.0,VERY_LONG,OWN_TERRITORY,TIED,EARLY,PUNT,0.46468639373779297,0.04479917883872986
9.0,46.0,0.0,3203.0,LONG,MIDFIELD,TIED,EARLY,PUNT,-0.0917314337566495,0.013004511594772339
7.0,33.0,0.0,2780.0,LONG,OPPONENT_21_35,TIED,EARLY,FIELD_GOAL,1.434345745883856,0.04814371466636658
12.0,50.0,-3.0,2601.0,VERY_LONG,MIDFIELD,TRAILING,EARLY,PUNT,-0.5471906159073114,0.002036869525909424
9.0,79.0,3.0,2482.0,LONG,OWN_TERRITORY,LEADING,EARLY,PUNT,0.30323021532967687,0.0188310444355011
28.0,93.0,-3.0,2424.0,VERY_LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,-0.2824533130042255,-0.036013245582580566
1.0,19.0,3.0,2222.0,SHORT,RED_ZONE,LEADING,EARLY,GO,1.711358513799496,0.039586782455444336
20.0,27.0,3.0,2092.0,VERY_LONG,OPPONENT_21_35,LEADING,EARLY,FIELD_GOAL,1.0742912919422343,0.07824915647506714
1.0,1.0,-6.0,1857.0,SHORT,RED_ZONE,TRAILING,EARLY,GO,2.645813401846681,0.13803192154660693
11.0,60.0,5.0,1306.0,VERY_LONG,OWN_TERRITORY,LEADING,MID,PUNT,-0.2965878788381815,0.0007767379283905029
10.0,50.0,-5.0,1027.0,LONG,MIDFIELD,TRAILING,MID,PUNT,-0.35241134371608496,0.009118825197219849
10.0,39.0,5.0,733.0,LONG,MIDFIELD,LEADING,MID,PUNT,-0.05801954795606434,-0.01112714409828186
1.0,74.0,-5.0,566.0,SHORT,OWN_TERRITORY,TRAILING,MID,PUNT,-1.2181048565544188,0.0015970468521118164
6.0,72.0,0.0,3515.0,LONG,OWN_TERRITORY,TIED,EARLY,PUNT,0.02361722430214286,0.015154480934143066
9.0,42.0,-7.0,3070.0,LONG,MIDFIELD,TRAILING,EARLY,PUNT,0.8326843900140375,0.010496005415916443
2.0,90.0,7.0,2980.0,SHORT,OWN_TERRITORY,LEADING,EARLY,PUNT,0.0040306521113961935,0.007575571537017822
9.0,57.0,-7.0,2914.0,LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,-0.005933231441304088,-0.0010382533073425293
16.0,21.0,7.0,2630.0,VERY_LONG,OPPONENT_21_35,LEADING,EARLY,FIELD_GOAL,0.5790879892509135,0.009586483240127563
1.0,57.0,-10.0,2532.0,SHORT,OWN_TERRITORY,TRAILING,EARLY,GO,2.575955769745633,0.041370049118995667
1.0,32.0,-10.0,2325.0,SHORT,OPPONENT_21_35,TRAILING,EARLY,GO,2.0187980043701828,0.06394001841545105
17.0,17.0,-10.0,2093.0,VERY_LONG,RED_ZONE,TRAILING,EARLY,FIELD_GOAL,0.2949800978772892,0.03351728618144989
